id,Unnamed: 0,propertyType,name,publishedOn,address,latitude,longitude,price,priceActual,priceMax,priceMin,livingRooms,beds,bedsMax,bedsMin,isRetirementHome,isSharedOwnership,studentFriendly,features
66861987,36,flat,1 bed flat to rent,2024-03-13T16:56:07,"Bennett Street, Bath BA1",51.386545,-2.361829,1200,1200,1250,1000,0,1,1,1,False,False,False,"['City Centre Location', 'Spacious living', 'Private outside space', 'Unfurnished', 'One double bedroom', 'Available now']"
67029337,37,flat,2 bed flat to rent,2024-04-04T12:55:32,"London Road West, Bath BA1",51.403198,-2.326433,1750,1750,1750,1750,1,2,2,2,False,False,False,"['Two double bedrooms', 'Available furnished or unfurnished', 'Newly Renovated', 'Immaculate condition', 'Beautiful views', 'Available now']"
67085372,38,bungalow,1 bed bungalow to rent,2024-04-11T10:56:12,"Charlton Court, Radstock BA3",51.26829,-2.455616,1100,1100,1250,1000,1,1,1,1,False,False,False,"['Council Tax Band A', 'Furnished', 'Use of swimming pool and gym', 'Electric, water and tv licence included', 'Parking for one car available']"
64912014,39,terraced,6 bed terraced house to rent,2023-06-19T17:00:04,"Walcot Buildings, Bath BA1",51.391055,-2.353989,10833,10833,12500,10000,2,6,6,6,False,False,False,"['5 Bedrooms', '3 Bathrooms', 'Lovely garden/ entertaining space', 'Exceptionally well presented', 'Fully furnished', 'Short let 1 day - 6 months less 1 day subject to availability', 'Prices start at £450.00 per night']"
66835478,40,flat,1 bed flat to rent,2024-03-11T12:25:21,"Midland Road, Bath BA1",51.3847,-2.376386,1330,1330,1500,1250,1,1,1,1,False,False,True,"['Electricity', 'Gas', 'Internet', 'Water', 'Communal garden', 'Balcony', 'Central heating', 'Double glazing', 'Waterfront', 'Cycle store', 'Fully staffed reception', 'Study area', 'Games/social space']"
66761580,41,terraced,6 bed terraced house to rent,2024-02-29T17:18:54,"The Paragon, Bath BA1",51.386425,-2.359818,8000,8000,8000,8000,4,6,6,6,False,False,False,"['Six Bedrooms', 'Four Receptions Rooms', 'Three Bathrooms', 'Furnished', 'Situated in the heart of Bath', 'EPC Rating = C']"
67078951,42,flat,2 bed flat to rent,2024-04-10T15:21:05,"Wells Road, Bath BA2",51.376793,-2.366063,1400,1400,1500,1250,0,2,2,2,False,False,False,"['Garden Apartment', 'Modern Kitchen', 'Large Lounge', '2 Double Bedrooms', 'Available May']"
41518489,43,flat,2 bed flat to rent,2024-03-14T12:54:01,"Alexandra House, Midland Road, Bath BA2",51.383388,-2.376289,1800,1800,2000,1750,1,2,2,2,False,False,False,"['Two Double Bedrooms', 'Upper Ground Floor Apartment', 'Allocated Secure Parking Space', 'En-Suite Shower Room', 'Finished To A High Standard Throughout', 'Gas Central Heating', 'Offered Unfurnished', 'Available Mid April']"
66510594,44,terraced,4 bed property to rent,2024-01-29T15:09:41,"St. Catherine, Bath BA1",51.428005,-2.321096,4000,4000,4000,4000,3,4,4,4,False,False,False,"['Idyllic hidden gem suitable for corporate lettings', 'Open plan Kitchen/Dining Room/Living Room', 'Garden Room with lovely views', 'Sitting Room with woodburning stove', 'Four bedrooms', 'Two bathrooms', 'Double Garage &amp; electronically gated parking', 'Gardens &amp; additional paddock']"
67085950,45,flat,1 bed flat to rent,2024-04-11T11:44:23,"James House, James Street West, Bath BA1",51.382324,-2.367528,1113,1113,1250,1000,1,1,1,1,False,False,True,"['Student accomodation', 'No families/professionals', 'Available September 2024', 'From £256 a week']"
67063330,46,semi_detached,4 bed semi-detached house to rent,2024-04-09T09:57:13,"Naish Road, Combe Down, Bath, Somerset BA2",51.364599,-2.350709,2500,2500,2500,2500,2,4,4,4,False,False,False,"['Allocated parking', 'Ample storage', 'Available long term', 'Beautiful garden', 'Beautifully presented', 'Bright and airy', 'Bright and spacious', 'Central heating', 'Close to local amenities', 'Close to local schools', 'Desirable location', 'Double glazing', 'Excellent condition']"
66885090,47,maisonette,3 bed maisonette to rent,2024-03-15T20:51:01,"Lansdown Mansions, Bath BA1",51.391196,-2.363821,1575,1575,1750,1500,0,3,3,3,False,False,False,"['No Agent Fees', 'Property Reference Number: 1765510']"
66877187,48,end_terrace,3 bed end terrace house to rent,2024-03-15T09:59:50,"William Street, Bath, Somerset BA2",51.383925,-2.354092,3400,3400,3500,3250,2,3,3,3,False,False,False,"['3 Floors', '3 Bedrooms', '2 Bathrooms', 'Kitchen/breakfast room', 'Conservatory', 'Utility Room', 'Balcony', 'Garage']"
65682053,49,terraced,3 bed property to rent,2024-03-06T15:05:45,"Wiltshire Way, Bath BA1",51.400038,-2.356991,1750,1750,1750,1750,1,3,3,3,False,False,False,"['3 Bedroom Property', 'Great Location', 'Bricklane partnership', 'Close to Local Schools', 'Built For Renters']"
66461652,50,flat,1 bed flat to rent,2024-01-22T19:41:22,"Gloucester Road, Larkhall, Bath BA1",51.397492,-2.342062,4150,4150,4250,4000,1,1,1,1,False,False,False,"['On-site Bistro style restaurant with expert chef', 'Flexible care tailored to your needs and preferences', 'Beautifully maintained, landscaped gardens', 'Great community with a Village feel and independent shops', 'Historic city centre nearby with Larkhall within walking distance', 'Balconies overlooking a babbling brook to numerous apartments', '24 hour staffing', 'Wheelchair access', 'Lifts to all floors', 'Camera entry system']"
